Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Yeanoh (Powe'hande Binga'dbe)","Kondi Band","Belle Wahallah","Favorites tracks","Favorite","DEG931500805","184824565"
"Laidu","Rokia Traoré","Mouneïssa","Favorites tracks","Favorite","FR1F39700510","20550260"
"I Tcho Tchass","Akofa Akoussah","Akofa Akoussah","Favorites tracks","Favorite","GBHCD1611419","95009548"
"Wild Life","Wings","Wild Life","Favorites tracks","Favorite","GBCCS1800008","100893567"
"Mão na Mão","Ana Lua Caiano","Mão na Mão","Favorites tracks","Favorite","PT7OC2300001","450040032"
"Pista (Fresh Start)","Los Bitchos","Let the Festivities Begin!","Favorites tracks","Favorite","DED622200003","334938393"
"Maria","Orange Blossom","Under the Shade of Violets","Favorites tracks","Favorite","FRX471410012","34597590"
"Smek","Ÿuma","Chura","Favorites tracks","Favorite","FRP1M1600200","270058101"
"Aaj Shanibar","Rupa","Disco Jazz","Favorites tracks","Favorite","USCW61980503","102548014"
"More Women","Saâda Bonaire","Saâda Bonaire","Favorites tracks","Favorite","SEYOK1832284","214953816"
"Nice Mover","Gina X Performance","Nice Mover (Re-mastered)","Favorites tracks","Favorite","GBHBR0400703","5544774"
"The Softest Hard","Easter","The Softest Hard","Favorites tracks","Favorite","USX9P1271930","27810720"
"You Could Be More As You Are","Saâda Bonaire","Saâda Bonaire","Favorites tracks","Favorite","SEYOK1832281","214953813"
"Harness Your Hopes","Pavement","Brighten the Corners: Nicene Creedence Ed.","Favorites tracks","Favorite","USMTD0880519","2274458"
"Negro Santo (feat. Melisa Castellanos & Monstruos del Mañana)","Don Couto","Negro Santo (feat. Melisa Castellanos & Monstruos del Mañana)","Favorites tracks","Favorite","QZDA62157291","176084618"
"Chalino Y Sus 7 Balazos","Tropa Magica","Tripiando Al Infinito","Favorites tracks","Favorite","QZES92083449","491645608"
"Mil Navajas","El General Villamil","Miércoles Picante","Favorites tracks","Favorite","QZES62315987","288598842"
"El Diablo Y El Ñau Ñau (feat. Chico Mann)","Ocote Soul Sounds","Coconut Rock","Favorites tracks","Favorite","TCACM1650736","59591405"
"Coidar dunhas Colmeas","Néboa","A realidade Enganosa","Favorites tracks","Favorite","ES71G2051947","420837273"
"Asilo (feat. Mon Laferte)","Jorge Drexler","Salvavidas de hielo","Favorites tracks","Favorite","ES5151701236","78500355"
"Bichota (Post-Punk)","Friolento","Bichota (Post-Punk)","Favorites tracks","Favorite","QZGLS2142349","178920133"
"Papayas","Chicarica","Papayas","Favorites tracks","Favorite","QZ4JJ1686548","68782048"
"Pais Nublado","Helado Negro","This Is How You Smile","Favorites tracks","Favorite","US6PQ1900051","102601580"
"Westbound Train","Quantic","Death of the Revolution","Favorites tracks","Favorite","GBEUE0800920","477750178"
"Nada Es Verdad","Natalia Lafourcade","Un Canto por México, Vol. II","Favorites tracks","Favorite","MXF012100063","183958773"
"Marrakumbiah","La Internacional Sonora Balkanera","Etno Pachanga Sound System","Favorites tracks","Favorite","MX3511600004","458359313"
"Qué Tú Quieres?","Mabiland","1995","Favorites tracks","Favorite","QZ5AB1810248","182169676"
"Elly Y2abel Habibi","Sherine","Btmanna Ansak","Favorites tracks","Favorite","QZNJV2574452","444830922"
"Kids with Guns","Gorillaz","Demon Days","Favorites tracks","Favorite","GBAYE0500170","1404358"
"Porque te vas","Jeanette","Porque te vas","Favorites tracks","Favorite","ES5099800415","5911295"
"Yègellé Tezeta","Mulatu Astatke","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Favorites tracks","Favorite","DEG930990134","184801622"
"Canción De Mierda","Mon Laferte","Canción De Mierda","Favorites tracks","Favorite","MXUM71902038","114164655"
"Bulls On Parade","Rage Against The Machine","Evil Empire","Favorites tracks","Favorite","USSM19502563","5120096"
"Slip","Elliot Moss","Audiokult Edition 21","Favorites tracks","Favorite","QMES51350017","60862659"
"Empire Ants (feat. Little Dragon)","Gorillaz","Plastic Beach","Favorites tracks","Favorite","GBAYE1400438","71109503"
"Colors","Black Pumas","Black Pumas","Favorites tracks","Favorite","USATO1900023","122486458"
"Sonido Bestial","Bobby Cruz","Un Sueño Bailando Por La Salsa","Favorites tracks","Favorite","USDBB0601161","110939118"
"Que Pena","The Lebron Brothers","Loco por Ti","Favorites tracks","Favorite","USDHM1916202","117932821"
"Fuego En El 23","Sonora Ponceña","Fuego en el 23!","Favorites tracks","Favorite","USDBB0600223","110219758"
